fecha,act_sis,act_elec,e_disp,p_sist,f_prob
16/1/2024,"""La estación funcionó optimamente hasta el 31 de octubre que presentó fallas en el sistema de comunicación y se salió temporalmente. Posteriormente, el 18 de diciembre, se perdió la señal de los sensores 00 y 10 por problemas de GPS del digitalizador al que se encuentran conectados. El sensor 40 se encuentra conectado a otro digitalizador y no presentó pérdida de datos. Para la fecha en que se perdió la señal del otro digitalizador, el 40 mostró cortes en los datos.""",,Por fuera,Instrumentación,2023-12-18
2024/1/16,"""La estación funcionó optimamente hasta el 31 de octubre que presentó fallas en el sistema de comunicación y se salió temporalmente. Posteriormente, el 18 de diciembre, se perdió la señal de los sensores 00 y 10 por problemas de GPS del digitalizador al que se encuentran conectados. El sensor 40 se encuentra conectado a otro digitalizador y no presentó pérdida de datos. Para la fecha en que se perdió la señal del otro digitalizador, el 40 mostró cortes en los datos.""",Con respecto a PTLC el digitalizador Q330 de los canales 00 y 10 presenta pérdida del tiempo debido a falla del GPS.,Bien,Instrumentación,2023-12-20
2024/1/16,"""La estación funcionó optimamente hasta el 31 de octubre que presentó fallas en el sistema de comunicación y se salió temporalmente. Posteriormente, el 18 de diciembre, se perdió la señal de los sensores 00 y 10 por problemas de GPS del digitalizador al que se encuentran conectados. El sensor 40 se encuentra conectado a otro digitalizador y no presentó pérdida de datos. Para la fecha en que se perdió la señal del otro digitalizador, el 40 mostró cortes en los datos.""",Con respecto a PTLC el digitalizador Q330 de los canales 00 y 10 presenta pérdida del tiempo debido a falla del GPS.,Por fuera,Instrumentación,2023-12-20
2024/1/16,"""La estación funcionó optimamente hasta el 31 de octubre que presentó fallas en el sistema de comunicación y se salió temporalmente. Posteriormente, el 18 de diciembre, se perdió la señal de los sensores 00 y 10 por problemas de GPS del digitalizador al que se encuentran conectados. El sensor 40 se encuentra conectado a otro digitalizador y no presentó pérdida de datos. Para la fecha en que se perdió la señal del otro digitalizador, el 40 mostró cortes en los datos.""",Con respecto a PTLC el digitalizador Q330 de los canales 00 y 10 presenta pérdida del tiempo debido a falla del GPS.,Por fuera,Instrumentación,2023-12-20
