fecha,act_sis,act_elec,e_disp,p_sist,f_prob
9/1/2024,Desde octubre de 2023 Sale por dìas y vuelve a ingresar.,,Intermitente,Comunicaciones,2023-10-19
2024/1/9,Desde octubre de 2023 Sale por dìas y vuelve a ingresar.,"Presenta fallas en el servicio de la red del operador de celular Claro en la zona de cobertura de la estación, se planea cambiar de operador.",Intermitente,Comunicaciones,2023-10-19
2024/2/15,"La estación presentaba problemas de transmición por cobertura de la red celular,   pero desde el 5 de enero de 2024, la estáción ha estado funcionando bien sin cortes ni gaps.","Presenta fallas en el servicio de la red del operador de celular Claro en la zona de cobertura de la estación, se planea cambiar de operador.",Bien,Comunicaciones,2023-10-19
