fecha,act_sis,act_elec,e_disp,p_sist,f_prob
10/10/2023,,Cortes porcobertura celular de la zona.,Intermitente,Instrumentación,2023-01-01
2023/10/10,"Presenta gaps diarios  de más de 8 horas, y el offset en las componentes horizontales son mayores a 300.000.",Cortes porcobertura celular de la zona.,Intermitente,Instrumentación,2023-01-01
