fecha,act_sis,act_elec,e_disp,p_sist,f_prob
17/1/2024,Las componentes Z y E  presentan valores de cuentas de menos de -56 mil.,,Bien,Comunicaciones,2024-01-17
2024/2/5,Las componentes Z y E  presentan valores de cuentas de menos de -56 mil.,La estación esta en buen funcionamiento y permite el registro de eventos  sísmicos. ,Bien,ninguno,2024-01-31
