fecha,act_sis,act_elec,e_disp,p_sist,f_prob
9/1/2024,,"La estación presenta falla del sistema de comunicación satelital, posiblemente el módem, BUC y/o LNB satelital está averiado por alguna descarga eléctrica atmosférica o vandalismo. Adicionalmente, el digitalizador presenta anomalías en su registro.",Por fuera,Comunicaciones,2023-09-24
2024/1/18,La estación sale por problemas de conexión a internet.,"La estación presenta falla del sistema de comunicación satelital, posiblemente el módem, BUC y/o LNB satelital está averiado por alguna descarga eléctrica atmosférica o vandalismo. Adicionalmente, el digitalizador presenta anomalías en su registro.",Por fuera,Comunicaciones,2023-09-24
