fecha,act_sis,act_elec,e_disp,p_sist,f_prob
5/2/2024,"La estación tuvo buen comportamiento durante el mes de Enero. Es necesario que para la próxima visita se revise el offset del canal HNE, ya que esta 4 veces más alto que las otras dos componentes.",,Bien,ninguno,2024-02-05
2024/3/6,"La estación tuvo buen comportamiento durante el mes de Febrero. Es necesario que para la próxima visita se revise el offset del canal HNE, ya que esta 4 veces más alto que las otras dos componentes. Presenta ruido en altas frecuencias (se encuentra dentro del acueducto de Garzón).",,Bien,Instrumentación,2024-02-05
