fecha,act_sis,act_elec,e_disp,p_sist,f_prob
9/1/2024,"Con muchos cortes desde el 21 de mayo de 2023, finalmente sale el 16 de julio.",,Por fuera,Comunicaciones,2023-07-16
2024/1/9,"Con muchos cortes desde el 21 de mayo de 2023, finalmente sale el 16 de julio.","presenta falla el sistema de comunicación satelital, posiblemente el módem, BUC y/o LNB satelital está averiado por alguna descarga eléctrica atmosférica o vandalismo. Adicionalmente, la conexión del cableado de datos entre la caseta y búnker estaba fallando (corrosión del conector RJ45) o fuente de alimentación del digitalizador está averiada.",Por fuera,Comunicaciones,2023-07-16
