fecha,act_sis,act_elec,e_disp,p_sist,f_prob
16/1/2024,La estación venia presentando problemas desde el 29/11/2023 por Fallas en el servicio de la red del operador de celular Claro en la zona donde está ubicada la estación,,Por fuera,Instrumentación,2023-12-29
2024/1/16,La estación venia presentando problemas desde el 29/11/2023 por Fallas en el servicio de la red del operador de celular Claro en la zona donde está ubicada la estación,"Juan M Solano. Informa que se encuentra por fuera por probable daño en la red celular de la región. Se debe estar pendiente de su retorno, de lo contrario puede ser problema de energía o mal funcionamiento de la estación",Por fuera,Instrumentación,2023-12-28
2024/1/26,,"Juan M Solano. Informa que se encuentra por fuera por probable daño en la red celular de la región. Se debe estar pendiente de su retorno, de lo contrario puede ser problema de energía o mal funcionamiento de la estación",Bien,Instrumentación,2023-12-28
