fecha,act_sis,act_elec,e_disp,p_sist,f_prob
18/1/2024,Estación Retirada el 23/11/2023 ,,Por fuera,Otro,2024-01-18
2024/1/18,Estación Retirada el 23/11/2023 ,,Por fuera,Otro,2023-11-23
