fecha,act_sis,act_elec,e_disp,p_sist,f_prob
31/1/2024,"Debido a fallas del servicio del operador de la red móvil de celular, la estación ha presentado poco disponibilidad en los datos.",,Intermitente,Comunicaciones,2024-01-31
2024/1/31,"Debido a fallas del servicio del operador de la red móvil de celular, la estación ha presentado poco disponibilidad en los datos.",,Intermitente,Comunicaciones,2024-01-31
2024/2/5,"Debido a fallas del servicio del operador de la red móvil de celular, la estación ha presentado poco disponibilidad en los datos.","La estación ha presentado intermitencia durante este mes, debido a la calidad en la prestación del servicio móvil por parte del operador de la red de Claro.",Intermitente,Comunicaciones,2024-01-31
2024/3/6,"El sensor de periodo corto instalado el 21 de junio de 2023 en Villahermosa - CVHER, tiene invertida la polaridad. El equipó fue revisado en laboratorio antes de salir, pero por un incidente se tuvo que volver a soldar el conector y despues de esto quedó invertido. Por favor tener pendiente para resolverlo en la proxima comisión.","La estación ha presentado intermitencia durante este mes, debido a la calidad en la prestación del servicio móvil por parte del operador de la red de Claro.",Bien,Instrumentación,2023-06-21
