"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","50","60","79.603677","103.056689","41.122633"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","55","65","65.152409","90.439113","61.778585"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","56","65","39.609095","63.320115","14.320954"
"Anserma, Caldas, Colombia","CM","CANSE","5.26","-75.81","10","1932","59","68","34.747369","73.332087","10.361455"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","66","74","12.022848","11.209615","7.228732"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","66","74","45.808851","58.468369","28.07748"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","71","78","5.837665","10.920944","11.567743"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","80","87","5.044882","7.395021","4.571899"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","90","96","3.169423","2.558155","2.756281"
"Tunja, Boyaca, Colombia","CM","CBUGA","3.89","-76.28","10","1049","103","108","13.18455","16.698268","8.118664"
"Villahermosa, Tolima, Colombia","CM","CVHER","5.03","-75.12","10","2030","106","112","2.621757","2.115456","1.831423"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","120","125","6.561644","7.425258","6.437563"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","132","136","7.970329","10.463902","3.521289"
"Cali SGC, Valle","CM","RAC2C","3.37","-76.53","10","988","166","169","6.393715","6.804499","4.522633"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","167","170","1.112858","0.910582","0.845584"
"Prado, Tolima, Colombia","CM","CPRAD","3.75","-74.89","10","309.3","172","175","4.81431","5.573256","3.061845"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","175","179","8.818102","6.92783","4.282672"
"Puerto Tejada, Cauca, Colombia","CM","CPTEJ","3.23","-76.41","10","995","178","181","1.271925","1.145412","0.545115"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","188","191","6.932665","13.451374","2.632761"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","192","194","0.933971","0.898825","0.760504"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","216","219","3.399003","6.104708","1.683319"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","219","221","1.634035","1.163213","0.645916"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","221","223","0.854928","1.110163","0.404591"
"Neiva, Huila, Colombia","CM","CNEIV","2.94","-75.27","10","514","222","225","2.988204","2.674124","2.597654"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","240","242","0.708354","1.151029","0.569969"
"Quetame, Cundinamarca, Colombia","CM","CQUET","4.33","-73.86","10","1486","248","250","0.237815","0.304856","0.18888"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","249","252","0.508789","0.604395","0.463357"
"Murindo, Antioquia, Colombia","CM","MUAC","6.99","-76.7","10","67","256","258","2.398962","2.029469","1.04829"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","262","264","1.081436","1.048915","0.663974"
"El Calvario, Meta, Colombia","CM","ECVM","4.36","-73.71","10","1880","264","266","0.924922","0.643225","0.921868"
"Popayan Invias, Cauca, Colombia","CM","CPOP2","2.46","-76.59","10","1772","266","268","3.532897","3.550238","1.842063"
"La Plata, Huila, Colombia","CM","CPLAT","2.38","-75.91","10","1111","267","269","0.915044","1.230645","0.776333"
"El Dorado, Meta, Colombia","CM","DORAC","3.73","-73.85","10","824","270","272","0.921973","1.169693","0.73972"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","272","274","1.209194","1.195714","0.544401"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","276","278","1.286547","1.082492","0.650644"
"Villavicencio, Meta, Colombia","CM","CVIL1","4.17","-73.64","10","463","276","278","0.698026","0.734538","0.869637"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","280","282","0.641399","0.624003","0.372754"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","283","285","1.651471","1.662883","1.033517"
"Garzon, Huila, Colombia","CM","CGARZ","2.19","-75.61","10","970","293","295","0.769163","0.546402","0.367136"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","295","297","2.575266","1.383722","1.037897"
"Pasto, Narino, Colombia","CM","CPAS3","2.4","-77.28","10","2562","298","300","1.330755","1.321749","1.220513"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","301","303","1.659882","1.500846","1.037654"
"Tunja, Boyaca, Colombia","CM","CTUN3","5.55","-73.36","10","2740","310","312","0.425979","0.396963","0.260938"
"Guapi, Cauca, Colombia","CM","CGUAP","2.57","-77.89","10","38","320","321","27.421694","25.520719","0.851228"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","324","326","0.346106","0.301707","0.188912"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","329","331","0.513984","0.259662","0.335078"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","335","337","1.259971","1.3235","0.458066"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","351","352","0.214889","0.179286","0.096711"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","352","354","0.271599","0.337347","0.154752"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","353","354","0.590135","0.673057","0.227473"
"Florencia, Caqueta, Colombia","CM","FLO2","1.58","-75.65","10","365","359","360","0.503827","0.336183","0.260062"
"La Cruz, Narino, Colombia","CM","CRU","1.57","-76.95","10","2761","372","373","2.02892","2.01952","0.950689"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","376","377","0.670698","0.717651","0.329149"
"Giron, Santander, Colombia","CM","GIR1","6.91","-73.16","10","993","398","399","0.189556","0.268522","0.122459"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","408","410","0.073883","0.072535","0.054566"
"Mocoa, Putumayo, Colombia","CM","MOCC","1.14","-76.67","10","720","411","412","0.701492","0.491873","0.374739"
"Piedecuesta, Santander, Colombia","CM","PDSC","6.99","-73.06","10","958","412","413","0.529412","0.762103","0.516556"
"Bucaramanga, Santander, Colombia","CM","CBUIS","7.14","-73.12","10","1015","417","418","0.368417","0.383361","0.191929"
"Pasto Corponarino, Narino","CM","PAS2","1.22","-77.25","10","2641","418","420","3.10008","0.526918","0.275621"
"Pasto, Narino, Colombia","CM","CPAS6","1.23","-77.29","10","2504","419","420","2.387478","2.955603","0.618549"
"Cufino, Narino","CM","CUFI","1.23","-77.34","10","3653","421","423","0.281553","0.344775","0.21689"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","425","426","0.151123","0.197732","0.112811"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","439","440","0.149579","0.127994","0.143372"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","446","447","0.062251","0.066764","0.049518"
"Monteria, Cordoba, Colombia","CM","CMONT","8.8","-75.85","10","28","448","449","0.251269","0.262638","0.177805"
"Capurgana, Choco, Colombia","CM","CAP2","8.64","-77.36","10","221","454","455","0.098508","0.070945","0.042327"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","455","456","0.078474","0.091604","0.042565"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","467","468","0.15994","0.156005","0.108519"
"Cumbal, Narino, Colombia","CM","CUM","0.94","-77.82","10","3420","471","472","0.454977","0.613022","0.631972"
"Pamplona, Norte de Santander, Colombia","CM","CPAM3","7.36","-72.66","10","2422.5","472","473","0.110562","0.100672","0.088972"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","475","476","0.458624","0.486165","0.397352"
"Sardinata, Norte de Santander, Colombia","CM","CSARD","8.06","-72.79","10","578","512","513","0.095718","0.109744","0.063883"
"Cucuta, Norte de Santander, Colombia","CM","CCUC3","7.87","-72.5","10","439","521","522","0.247507","0.489462","0.09773"
"Cucuta, Norte de Santander, Colombia","CM","CCUC2","7.9","-72.49","10","320","525","526","0.428519","0.292967","0.839456"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","535","536","0.338063","0.172365","0.435737"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","577","578","0.04193","0.050917","0.028243"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","599","600","0.06777","0.069483","0.038481"
"Valledupar, Cesar","CM","VALLC","10.51","-73.26","10","354","708","708","3.187197","1.411326","1.281754"
"Santa Marta, Magdalena, Colombia","CM","SMAR","11.16","-74.22","10","122","738","739","0.017116","0.025502","0.02106"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","777","778","0.088881","0.072062","0.034796"
"Uribia, Guajira, Colombia","CM","URI","11.7","-71.99","10","68","890","891","0.027873","0.032379","0.063214"
