"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Neiva, Huila, Colombia","CM","CNEIV","2.94","-75.27","10","514","52","53","5.947857","5.554834","4.140566"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","70","71","0.836442","0.538503","0.553154"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","92","93","1.52348","2.504625","1.168107"
"Prado, Tolima, Colombia","CM","CPRAD","3.75","-74.89","10","309.3","97","97","0.962497","1.250267","1.00862"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","109","109","1.44994","1.977415","1.128353"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","109","110","2.177176","2.045495","1.515375"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","112","112","0.974593","1.240245","0.938144"
"Garzon, Huila, Colombia","CM","CGARZ","2.19","-75.61","10","970","118","118","0.889111","0.788657","0.477669"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","124","124","2.618472","3.065997","1.273154"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","128","128","2.891692","3.679909","1.901754"
"La Plata, Huila, Colombia","CM","CPLAT","2.38","-75.91","10","1111","135","135","1.040858","0.982459","0.607778"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","135","135","1.838236","1.561835","0.830896"
"El Dorado, Meta, Colombia","CM","DORAC","3.73","-73.85","10","824","141","142","0.883366","2.167209","0.802758"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","172","173","1.140363","1.036999","0.51653"
"Florencia, Caqueta, Colombia","CM","FLO2","1.58","-75.65","10","365","173","173","0.378821","0.325836","0.319277"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","184","184","0.914272","0.84326","0.447354"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","186","187","0.361555","0.393384","0.280786"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","187","188","0.330404","0.329458","0.190948"
"Quetame, Cundinamarca, Colombia","CM","CQUET","4.33","-73.86","10","1486","192","192","0.040094","0.238615","0.09769"
"Villavicencio, Meta, Colombia","CM","CVIL1","4.17","-73.64","10","463","193","194","0.419934","0.638818","0.335278"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","198","199","0.15916","0.15388","0.102341"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","199","199","0.264567","0.420608","0.221298"
"Penas Blanca Quindio","UQ","PBLA","4.48","-75.64","00","2003","200","200","0.718008","1.320853","0.408682"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","202","202","0.757305","0.896236","0.407146"
"El Calvario, Meta, Colombia","CM","ECVM","4.36","-73.71","10","1880","204","204","0.443539","0.576948","0.226504"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","208","209","1.804845","1.510391","1.089192"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","210","210","0.165432","0.183903","0.106159"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","211","211","0.098812","0.14788","0.05806"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","212","213","0.820872","0.633177","0.726647"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","214","215","1.73013","1.641299","0.784554"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","217","217","0.21764","0.1447","0.068793"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","219","220","1.459831","1.757111","1.01958"
"Villahermosa, Tolima, Colombia","CM","CVHER","5.03","-75.12","10","2030","241","241","0.141637","0.150006","0.141387"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","267","267","0.026238","0.025919","0.020258"
"La Cruz, Narino, Colombia","CM","CRU","1.57","-76.95","10","2761","280","280","0.150443","0.22082","0.134205"
"Mocoa, Putumayo, Colombia","CM","MOCC","1.14","-76.67","10","720","284","284","0.512148","0.375693","0.132089"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","331","331","0.292133","0.303884","0.155831"
"Cufino, Narino","CM","CUFI","1.23","-77.34","10","3653","338","338","0.024435","0.024247","0.012838"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","339","339","0.012579","0.01785","0.00756"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","357","357","0.007204","0.009535","0.004698"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","376","376","0.010225","0.006215","0.006177"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","385","385","0.019647","0.017596","0.008249"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","399","399","0.072833","0.093889","0.035938"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","470","470","0.022702","0.027992","0.0102"
