"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","56","56","15.577544","19.22685","7.020448"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","69","69","42.444032","44.935141","26.232952"
"Pizarro, Choco, Colombia","CM","PIZC","4.97","-77.36","10","38","77","77","4.834975","10.057699","3.473018"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","104","104","2.76118","2.790655","1.120444"
"Anserma, Caldas, Colombia","CM","CANSE","5.26","-75.81","10","1932","105","105","1.770755","5.722784","0.850759"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","117","117","1.153827","1.54609","0.711009"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","126","126","3.926379","2.839132","1.601526"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","139","139","3.339304","3.952296","1.348678"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","144","144","5.192316","6.28793","1.653019"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","145","145","0.389416","0.528363","0.828344"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","147","147","4.607922","3.839892","5.677037"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","147","147","4.33536","6.185267","2.197323"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","151","151","3.433853","3.236851","2.287893"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","153","153","0.714472","0.9938","0.437898"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","154","154","1.267775","1.160566","0.794715"
